danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.5030,0.8180,1.0000,-6.2400,0.0000,0.0578,0.0057,0.0000,0.2270,0.3100,146.0600,204639.0000,0
0.7920,0.5060,7.0000,-9.2560,0.0000,0.0986,0.3780,0.0000,0.1190,0.1550,120.1550,144010.0000,0
0.5840,0.9170,6.0000,-4.3260,0.0000,0.4900,0.1520,0.0000,0.4420,0.6520,149.7040,231320.0000,0
0.4140,0.7020,7.0000,-3.3150,1.0000,0.0909,0.0072,0.0000,0.1620,0.3380,96.9890,209483.0000,0
0.8050,0.7900,7.0000,-13.1350,1.0000,0.0850,0.0006,0.8980,0.1140,0.2600,123.9950,442136.0000,0
0.3940,0.6440,5.0000,-10.9960,1.0000,0.0367,0.2440,0.1980,0.3280,0.1820,117.1520,301560.0000,0
0.7300,0.8280,4.0000,-2.9930,0.0000,0.2170,0.0629,0.0000,0.2350,0.6770,82.0920,202667.0000,0
0.8870,0.7960,6.0000,-5.3920,0.0000,0.0456,0.0227,0.0438,0.0649,0.9370,111.5890,250390.0000,0
0.5360,0.6730,10.0000,-5.4570,0.0000,0.1840,0.0887,0.0124,0.4270,0.6970,185.9220,163940.0000,0
0.6320,0.9210,7.0000,-4.9820,1.0000,0.0822,0.0033,0.3870,0.8680,0.3420,128.0280,273840.0000,0
0.5570,0.9580,2.0000,-4.6300,1.0000,0.0679,0.0011,0.0063,0.0688,0.4010,133.0220,235493.0000,0
0.8010,0.9930,1.0000,-4.2300,1.0000,0.0648,0.0033,0.8290,0.0338,0.8050,128.0090,322573.0000,0
0.2350,0.4810,2.0000,-8.2120,1.0000,0.0583,0.0299,0.0000,0.0539,0.0949,74.9950,250748.0000,0
0.6520,0.6040,9.0000,-8.7660,0.0000,0.2270,0.1110,0.0000,0.0409,0.6750,170.0030,249960.0000,0
0.5730,0.6790,10.0000,-5.1230,1.0000,0.0276,0.1190,0.0000,0.0902,0.4970,139.9480,229640.0000,0
